,date,FEDFUNDS,GDPC1,UNRATE,MEDCPIM158SFRBCLE,RSAFS,UMCSENT,target_upper,target_lower,FEDFUNDS_year,GDPC1_year,UNRATE_year,MEDCPIM158SFRBCLE_year,RSAFS_year,UMCSENT_year,FEDFUNDS_month,GDPC1_month,UNRATE_month,MEDCPIM158SFRBCLE_month,RSAFS_month,UMCSENT_month,GDPPOT
0,1996-01-01,5.56,11614.418,5.6,3.77576772431056,208699.0,89.3,6.5,,0.5425,2.60131,0.0,-9.8043,3.5352,-8.5041,-0.71429,0.74905,0.0,46.36763,-0.80799,-1.86813,10879.309158135062
1,1996-02-01,5.22,,5.5,2.6189607116124103,212008.0,88.5,6.5,,-11.82432,,1.85185,-21.53243,6.85941,-6.94006,-6.11511,,-1.78571,-30.63766,1.58554,-0.89586,
2,1996-03-01,5.31,,5.5,3.1105647730186496,213891.0,93.7,6.5,,-11.20401,,1.85185,-4.71751,6.81359,3.76523,1.72414,,0.0,18.77096,0.88817,5.87571,
3,1996-04-01,5.22,11808.14,5.6,3.1332757133388798,214676.0,92.7,6.5,,-13.71901,4.00238,-3.44828,-14.3565,6.78698,0.21622,-1.69492,1.66794,1.81818,0.73012,0.36701,-1.06724,10961.169452731983
4,1996-05-01,5.24,,5.6,2.9377900582841403,216299.0,89.4,6.5,,-12.81198,,0.0,-17.46535,6.55858,-0.44543,0.38314,,0.0,-6.23902,0.75602,-3.55987,
5,1996-06-01,5.27,,5.3,2.51124866161314,216068.0,92.4,6.5,,-12.16667,,-5.35714,19.60966,5.14258,-0.32362,0.57252,,-5.35714,-14.51912,-0.1068,3.3557,
6,1996-07-01,5.4,11914.063,5.5,3.1963724632271004,216332.0,94.7,6.5,,-7.69231,4.05013,-3.50877,5.39639,5.569,0.3178,2.46679,0.89703,3.77358,27.2822,0.12218,2.48918,11050.502724170348
7,1996-08-01,5.22,,5.1,2.3215009912297,216358.0,95.3,6.5,,-9.05923,,-10.52632,-21.10043,4.7632,-0.93555,-3.33333,,-7.27273,-27.37076,0.01202,0.63358,
8,1996-09-01,5.3,,5.2,3.13018982525812,219256.0,94.7,6.5,,-8.62069,,-7.14286,-4.07642,5.9177,6.52418,1.53257,,1.96078,34.83474,1.33945,-0.62959,
9,1996-10-01,5.24,12037.775,5.2,2.8819818031793303,221060.0,96.5,6.5,,-9.02778,4.42145,-5.45455,-10.69181,7.21907,6.98448,-1.13208,1.03837,0.0,-7.92949,0.82278,1.90074,11145.657938016473
10,1996-11-01,5.31,,5.4,3.4965341186496497,220963.0,99.2,6.5,,-8.44828,,-3.57143,30.99416,5.89416,12.47166,1.33588,,3.84615,21.32395,-0.04388,2.79793,
11,1996-12-01,5.29,,5.4,2.20024121572453,221991.0,96.9,6.5,,-5.53571,,-3.57143,-14.70765,5.50953,6.48352,-0.37665,,0.0,-37.07365,0.46524,-2.31855,
12,1997-01-01,5.25,12115.472,5.3,3.0261790535140802,223481.0,97.4,6.5,,-5.57554,4.31407,-5.35714,-19.85262,7.08293,9.07055,-0.75614,0.64544,-1.85185,37.53851,0.6712,0.516,11244.924013707889
13,1997-02-01,5.19,,5.2,2.34294951187677,225422.0,99.7,6.5,,-0.57471,,-5.45455,-10.53896,6.32712,12.65537,-1.14286,,-1.88679,-22.5773,0.86853,2.3614,
14,1997-03-01,5.39,,5.2,2.95319457160124,226161.0,100.0,6.5,,1.50659,,-5.45455,-5.05922,5.73657,6.72359,3.85356,,0.0,26.04602,0.32783,0.3009,
15,1997-04-01,5.51,12317.221,5.1,2.9877083499694,224615.0,101.4,6.5,,5.55556,4.31127,-8.92857,-4.64585,4.62977,9.38511,2.22635,1.66522,-1.92308,1.16869,-0.68358,1.4,11346.384007588204
16,1997-05-01,5.5,,4.9,2.63567345485551,222929.0,103.2,6.5,,4.96183,,-12.5,-10.28381,3.0652,15.43624,-0.18149,,-3.92157,-11.78277,-0.75062,1.77515,
17,1997-06-01,5.56,,5.0,2.49848264690866,226057.0,104.5,6.5,,5.50285,,-5.66038,-0.50835,4.62308,13.09524,1.09091,,2.04082,-5.20515,1.40314,1.25969,
18,1997-07-01,5.52,12471.01,4.9,2.02617633760405,228703.0,107.1,6.5,,2.22222,4.6747,-10.90909,-36.61013,5.71853,13.09398,-0.71942,1.24857,-2.0,-18.90373,1.1705,2.48804,11450.56977814428
19,1997-08-01,5.54,,4.8,2.31561868855912,229309.0,104.4,6.5,,6.13027,,-5.88235,-0.25338,5.98591,9.54879,0.36232,,-2.04082,14.28515,0.26497,-2.52101,
20,1997-09-01,5.54,,4.9,2.53199694313149,230312.0,106.0,6.5,,4.5283,,-5.76923,-19.11043,5.04251,11.93242,0.0,,2.08333,9.3443,0.4374,1.53257,
21,1997-10-01,5.5,12577.495,4.7,2.4815449287927596,229836.0,105.6,6.5,,4.96183,4.48355,-9.61538,-13.8945,3.96996,9.43005,-0.72202,0.85386,-4.08163,-1.99258,-0.20668,-0.37736,11556.792999611987
22,1997-11-01,5.52,,4.6,2.7079596776415897,230440.0,107.2,6.5,,3.9548,,-14.81481,-22.55303,4.28895,8.06452,0.36364,,-2.12766,9.12394,0.2628,1.51515,
23,1997-12-01,5.5,,4.7,3.06873423353,231181.0,102.1,6.5,,3.96975,,-12.96296,39.47263,4.13981,5.36636,-0.36232,,2.17391,13.32274,0.32156,-4.75746,
24,1998-01-01,5.56,12703.742,4.6,2.42179277848711,231587.0,106.6,6.5,,5.90476,4.85553,-13.20755,-19.97193,3.62715,9.44559,1.09091,1.00375,-2.12766,-21.0817,0.17562,4.40744,11664.98592206671
25,1998-02-01,5.51,,4.6,2.87065094209522,231684.0,110.4,6.5,,6.1657,,-11.53846,22.52295,2.7779,10.7322,-0.89928,,0.0,18.53413,0.04188,3.56473,
26,1998-03-01,5.49,,4.7,2.44301532251741,233083.0,106.5,6.5,,1.85529,,-9.61538,-17.2755,3.06065,6.5,-0.36298,,2.17391,-14.89682,0.60384,-3.53261,
27,1998-04-01,5.45,12821.339,4.3,2.2748187478652997,235986.0,108.7,6.5,,-1.08893,4.09279,-15.68627,-23.86075,5.06244,7.19921,-0.7286,0.92569,-8.51064,-6.88479,1.24548,2.06573,11776.732056230408
28,1998-05-01,5.49,,4.4,3.03777216799082,237075.0,106.5,6.5,,-0.18182,,-10.20408,15.25601,6.34552,3.19767,0.73394,,2.32558,33.53909,0.46147,-2.02392,
29,1998-06-01,5.56,,4.5,3.12389474765322,238971.0,105.6,6.5,,0.0,,-10.0,25.03168,5.71272,1.05263,1.27505,,2.27273,2.83506,0.79975,-0.84507,
30,1998-07-01,5.54,12982.752,4.5,3.21477716314102,237411.0,105.2,6.5,,0.36232,4.10345,-8.16327,58.66226,3.80756,-1.77404,-0.35971,1.25894,0.0,2.90927,-0.6528,-0.37879,11892.757550134585
31,1998-08-01,5.55,,4.5,3.3717716016433705,236379.0,104.4,6.5,,0.18051,,-6.25,45.60997,3.08318,0.0,0.18051,,0.0,4.88352,-0.43469,-0.76046,
32,1998-09-01,5.51,,4.6,3.1662397199017995,238550.0,100.9,6.5,,-0.54152,,-6.12245,25.04911,3.57689,-4.81132,-0.72072,,2.22222,-6.09566,0.91844,-3.35249,
33,1998-10-01,5.07,13191.67,4.5,3.33701606701728,242549.0,97.4,6.5,,-7.81818,4.88313,-4.25532,34.47333,5.53134,-7.76515,-7.98548,1.6092,-2.17391,5.39366,1.67638,-3.46878,12015.9197752012
34,1998-11-01,4.83,,4.4,2.1930187838977,244291.0,102.7,6.5,,-12.5,,-4.34783,-19.01583,6.01068,-4.19776,-4.73373,,-2.22222,-34.28204,0.71821,5.44148,
35,1998-12-01,4.68,,4.4,1.9936687234930899,246530.0,100.5,6.5,,-14.90909,,-6.38298,-35.03286,6.63939,-1.56709,-3.10559,,0.0,-9.09021,0.91653,-2.14216,
36,1999-01-01,4.63,13315.597,4.3,1.5491720432712501,246868.0,103.9,6.5,,-16.72662,4.81634,-6.52174,-36.03201,6.59838,-2.53283,-1.06838,0.93943,-2.27273,-22.29541,0.1371,3.38308,12149.437433957917
37,1999-02-01,4.76,,4.4,1.7404106130861599,249520.0,108.1,6.5,,-13.61162,,-4.34783,-39.37227,7.69842,-2.08333,2.80778,,2.32558,12.34457,1.07426,4.04235,
38,1999-03-01,4.81,,4.2,1.84262079989537,250667.0,105.7,6.5,,-12.38616,,-10.6383,-24.57596,7.54409,-0.75117,1.05042,,-4.54545,5.87276,0.45968,-2.22017,
39,1999-04-01,4.74,13426.748,4.3,2.67599038238358,252477.0,104.6,6.5,,-13.02752,4.72189,0.0,17.63532,6.98813,-3.77185,-1.4553,0.83474,2.38095,45.22741,0.72207,-1.04068,12293.893433735091
40,1999-05-01,4.74,,4.2,1.7151774759723402,254735.0,106.8,6.5,,-13.6612,,-4.54545,-43.53831,7.44912,0.28169,0.0,,-2.32558,-35.90495,0.89434,2.10325,
41,1999-06-01,4.76,,4.3,1.1828446049785701,255449.0,107.3,6.5,,-14.38849,,-4.44444,-62.13558,6.8954,1.60985,0.42194,,2.38095,-31.03661,0.28029,0.46816,
42,1999-07-01,4.99,13604.771,4.3,2.3937068697068797,257456.0,106.0,6.5,,-9.9278,4.79112,-4.44444,-25.5405,8.44316,0.76046,4.83193,1.32588,0.0,102.36867,0.78568,-1.21156,12445.48732618436
43,1999-08-01,5.07,,4.2,2.3615824284601,260230.0,104.5,6.5,,-8.64865,,-6.66667,-29.96019,10.09015,0.09579,1.60321,,-2.32558,-1.34204,1.07747,-1.41509,
44,1999-09-01,5.22,,4.2,2.4805631178883303,261317.0,107.2,6.5,,-5.26316,,-8.69565,-21.65587,9.54391,6.24381,2.95858,,0.0,5.03818,0.41771,2.58373,
